,pc,dc,qc,,,,
371,1,1,1,1.928571429,0.125,0.125,0
372,4,0,0,1.928571429,0.125,0.125,0
373,0,1,1,1.839285714,0.125,0.125,0
374,0,1,1,1.928571429,0.125,0.125,0
375,0,1,1,1.928571429,0.214285714,0.125,0
376,0,1,1,0.267857143,0.214285714,0,1
377,1,1,1,0.285714286,0.214285714,0,1
378,0,1,1,0.285714286,0.214285714,0,1
379,1,0,1,0.285714286,0.214285714,0,1
380,1,0,1,0.285714286,0.214285714,0,1
381,1,1,1,0.285714286,0.267857143,0,1
382,0,1,1,0.267857143,0.285714286,0,1
383,0,1,1,0.267857143,0.285714286,0,1
384,0,1,1,0.267857143,0.285714286,0,1
385,1,0,1,0.267857143,0.267857143,0,1
386,1,0,1,0.214285714,0.267857143,0.5,1
387,1,0,1,0.125,0.214285714,0.5,1
388,1,0,1,0.125,0.214285714,0.5,1
389,1,0,1,0.214285714,0.267857143,0.5,1
390,1,1,3,0.267857143,0.285714286,0.5,1
391,1,0,1,0.285714286,0.267857143,0.5,1
392,0,1,1,0.267857143,0.214285714,0.5,1
393,0,1,1,0.214285714,0.125,0.5,1
394,0,1,1,0.553571429,0.214285714,0,1
395,0,1,1,0.553571429,0.125,0,1
396,0,1,1,0.553571429,0.125,0,1
397,0,1,1,0.571428571,0.125,0.125,1
398,2,0,1,0.553571429,0.214285714,0.214285714,1
399,1,1,1,0.5,0.267857143,0.267857143,1
400,0,1,1,0.571428571,0.285714286,0.285714286,1
401,1,1,2,0.410714286,0.267857143,0.267857143,1
402,1,0,2,0.410714286,0.267857143,0.267857143,1
403,1,0,2,0.410714286,0.214285714,0.267857143,1
404,2,0,2,0.214285714,0.125,0.267857143,1
405,1,0,2,0.410714286,0.125,0.285714286,1
406,2,0,1,0.410714286,0.125,0.267857143,1
407,1,0,1,0.410714286,0.125,0.214285714,1
408,1,0,1,0.285714286,0.125,0.125,1
409,0,1,1,0.410714286,0.214285714,0,1
410,1,0,1,0.267857143,0.267857143,0,1
411,1,0,1,1.714285714,0.267857143,0.5,0
412,1,0,1,1.714285714,0.285714286,0.553571429,0
413,0,1,1,1.553571429,0.285714286,0.553571429,0
414,0,1,1,1.714285714,0.267857143,0.553571429,0
415,4,0,3,1.839285714,0.214285714,0.839285714,0
416,1,1,2,2,0.125,0.785714286,0
417,1,1,1,2,0.125,0.785714286,0
418,0,1,1,2,0.125,0.785714286,0
419,0,1,3,0.571428571,0,0.571428571,1
420,2,1,2,0.553571429,0,0.553571429,1
421,0,1,1,0.5,0,0.553571429,1
422,0,1,1,0.857142857,0,0.553571429,1
423,0,1,1,0.857142857,0,0.125,1
424,0,1,1,0.5,0,0,1
425,0,1,1,0.5,0,0.5,1
426,2,1,1,0.857142857,0,0.5,1
427,0,1,1,0.857142857,0,0.5,1
428,0,1,1,0.839285714,0,0.857142857,1
429,0,1,3,0.785714286,0,1.071428571,0
430,2,1,1,1.267857143,0.125,1.071428571,0
431,0,1,1,1.642857143,0.214285714,0.982142857,0
432,1,1,3,1.642857143,0.214285714,0.982142857,0
433,1,1,3,1.410714286,0.214285714,0.785714286,0
434,3,0,1,1.410714286,0.214285714,0.696428571,0
435,3,0,2,1.410714286,0.214285714,0.696428571,0
436,0,1,1,1.410714286,0.214285714,0.553571429,0
437,1,1,2,1.642857143,0.214285714,0.267857143,0
438,2,1,2,1.267857143,0.125,0.267857143,0
439,0,1,1,0.553571429,0,0.267857143,1
440,1,1,1,0.553571429,0,0.267857143,1
441,0,1,1,0.571428571,0,0.267857143,1
442,0,1,1,0.267857143,0.125,0.214285714,1
443,1,1,2,0.285714286,0.214285714,0.214285714,1
444,0,1,1,0.285714286,0.267857143,0.214285714,1
445,0,1,2,0.982142857,0.267857143,0.571428571,1
446,1,0,1,0.982142857,0.267857143,0.553571429,1
447,1,0,1,1.142857143,0.267857143,0.553571429,0
448,1,0,1,0.982142857,0.267857143,0.553571429,1
449,3,1,3,0.785714286,0.267857143,0.571428571,1
450,2,1,2,0.785714286,0.214285714,0.571428571,1
451,0,1,2,0.982142857,0.125,0.571428571,1
452,1,1,1,2,0.125,0.553571429,0
453,1,1,1,1.904761905,0.142857143,0.285714286,0
454,1,1,1,2.166666667,0.166666667,0.266666667,0
455,0,1,1,2.3,0.2,0.2,0
456,4,0,2,3,0.25,0.25,0
