volume,volatility,time
9.991701245,24.09495309,700
10.02904564,24.14659149,701
10.08298755,24.19556279,702
10.12033195,24.25207209,703
10.13278008,24.31367934,704
10.19917012,24.37209376,705
10.19917012,24.41696961,706
10.22821577,24.45494091,707
10.24896266,24.48978329,708
10.22821577,24.52092136,709
10.29875519,24.54953498,710
10.60995851,24.57471358,711
10.47717842,24.60888072,712
10.43983402,24.63644503,713
10.33195021,24.65643755,714
10.23651452,24.68007043,715
10.19502075,24.69781795,716
10.09128631,24.71214562,717
10.02904564,24.72597261,718
9.800829876,24.73888196,719
9.7593361,24.75224024,720
9.771784232,24.76379996,721
9.668049793,24.77361332,722
9.556016598,24.78648829,723
9.493775934,24.79666448,724
9.414937759,24.80726244,725
9.410788382,24.81938399,726
9.315352697,24.83493429,727
9.2406639,24.85322501,728
9.228215768,24.86374921,729
9.107883817,24.86780163,730
9.116182573,24.86845741,731
9.004149378,24.86231241,732
8.950207469,24.85431476,733
8.950207469,24.84153165,734
8.946058091,24.82967673,735
9,24.81411714,736
8.98340249,24.79533704,737
8.995850622,24.77883028,738
8.958506224,24.75477311,739
8.858921162,24.72845316,740
8.813278008,24.70143237,741
8.668049793,24.67034108,742
8.618257261,24.64363184,743
8.676348548,24.6198414,744
8.589211618,24.5993755,745
8.522821577,24.57108719,746
8.489626556,24.53834603,747
8.390041494,24.50022347,748
8.32780083,24.46094354,749
8.269709544,24.41717073,750
8.253112033,24.37911579,751
8.278008299,24.3476419,752
8.232365145,24.3176988,753
8.232365145,24.28808382,754
8.219917012,24.26009314,755
8.182572614,24.22783103,756
8.145228216,24.19984766,757
8.116182573,24.16253273,758
8.095435685,24.115774,759
8.12033195,24.05639853,760
8.128630705,23.98621312,761
8.070539419,23.91182104,762
8.012448133,23.83850224,763
7.950207469,23.75629552,764
7.921161826,23.67219675,765
7.937759336,23.59619551,766
7.966804979,23.5162466,767
7.954356846,23.44130399,768
7.900414938,23.35838418,769
7.829875519,23.26601186,770
7.79253112,23.17128787,771
7.883817427,23.06346929,772
7.887966805,22.94721782,773
7.917012448,22.83334956,774
7.900414938,22.7125912,775
7.908713693,22.59339992,776
7.946058091,22.47189888,777
8.01659751,22.35313312,778
8.082987552,22.23909464,779
8.116182573,22.13237592,780
8.153526971,22.01938447,781
8.132780083,21.905831,782
8.136929461,21.78191704,783
8.145228216,21.64534974,784
8.157676349,21.50510331,785
8.170124481,21.36954771,786
8.178423237,21.23751207,787
8.170124481,21.09764043,788
8.182572614,20.95904581,789
8.195020747,20.81916211,790
8.22406639,20.6699475,791
8.248962656,20.52239585,792
8.203319502,20.37701595,793
8.203319502,20.23563544,794
8.182572614,20.08805277,795
8.186721992,19.94356584,796
8.182572614,19.78451447,797
8.190871369,19.62799035,798
8.232365145,19.47000216,799
