,datetime,code,open,volume,amt,open_interest,index_time,index,window,window-future,index-future
11995,2020/2/26 14:55,IF2006.CFE,4062.6,34,41458980,29409.50526,2020/2/26 14:55,4074.26,4074.515,-12.356,11.66
11996,2020/2/26 14:56,IF2006.CFE,4064.6,39,47531700,29405.22826,2020/2/26 14:56,4074.35,4074.305,-9.92,9.75
11997,2020/2/26 14:57,IF2006.CFE,4062.8,66,80396600,29406.90323,2020/2/26 14:57,4075.04,4074.695,-11.602,12.24
11998,2020/2/26 14:58,IF2006.CFE,4060.2,44,53591100,29410.20652,2020/2/26 14:58,4074.18,4074.61,-16.166,13.98
11999,2020/2/26 14:59,IF2006.CFE,4059.8,53,64559460,29422.75281,2020/2/26 14:59,4074.18,4074.18,-20.842,14.38
12000,2020/2/27 9:30,IF2006.CFE,4070,326,399131980,29357.82759,2020/2/27 9:30,4084.08,4079.13,-13.828,14.08
12001,2020/2/27 9:31,IF2006.CFE,4085.2,157,192272800,29289.65833,2020/2/27 9:31,4095.73,4089.905,-2.676,10.53
12002,2020/2/27 9:32,IF2006.CFE,4086.8,71,86988240,29239.54237,2020/2/27 9:32,4090.97,4093.35,-2.732,4.17
12003,2020/2/27 9:33,IF2006.CFE,4079,88,107557320,29206.95536,2020/2/27 9:33,4094.42,4092.695,-11.984,15.42
12004,2020/2/27 9:34,IF2006.CFE,4073,152,186022760,29154.71429,2020/2/27 9:34,4082.46,4088.44,-15.322,9.46
12005,2020/2/27 9:35,IF2006.CFE,4078.8,90,110049420,29097.5339,2020/2/27 9:35,4091.34,4086.9,-8.804,12.54
12006,2020/2/27 9:36,IF2006.CFE,4074.2,147,179865820,29041.72881,2020/2/27 9:36,4082.42,4086.88,-11.724,8.22
12007,2020/2/27 9:37,IF2006.CFE,4080,116,141907260,28962.50435,2020/2/27 9:37,4087.38,4084.9,-6.92,7.38
12008,2020/2/27 9:38,IF2006.CFE,4077.8,65,79542540,28937.9913,2020/2/27 9:38,4086.02,4086.7,-9.222,8.22
12009,2020/2/27 9:39,IF2006.CFE,4076.2,86,105298740,28917.23684,2020/2/27 9:39,4087.44,4086.73,-13.814,11.24
12010,2020/2/27 9:40,IF2006.CFE,4084,152,186349040,28875.87069,2020/2/27 9:40,4091.85,4089.645,-6.962,7.85
12011,2020/2/27 9:41,IF2006.CFE,4087,139,170313180,28818.2,2020/2/27 9:41,4097.38,4094.615,-5.46,10.38
12012,2020/2/27 9:42,IF2006.CFE,4084.8,177,216876260,28776.58974,2020/2/27 9:42,4092.12,4094.75,-9.73,7.32
