,datetime,code,open,volume,amt,open_interest,index,index_smooth
3862,2020/1/2 9:52,IF2006.CFE,4168.6,31,38775060,13866.01538,4132.32,4126.615481
3863,2020/1/2 9:53,IF2006.CFE,4168,65,81338160,13866.49462,4135.07,4126.947741
3864,2020/1/2 9:54,IF2006.CFE,4174.4,54,67623240,13863.79048,4138.11,4127.279707
3865,2020/1/2 9:55,IF2006.CFE,4176.8,44,55079280,13864.67327,4143.07,4127.616485
3866,2020/1/2 9:56,IF2006.CFE,4172,24,30039120,13857.0375,4142.34,4127.95477
3867,2020/1/2 9:57,IF2006.CFE,4170.2,24,30036180,13840.4,4141.99,4128.292803
3868,2020/1/2 9:58,IF2006.CFE,4170.2,32,40053480,13826.93103,4142.33,4128.616276
3869,2020/1/2 9:59,IF2006.CFE,4175,87,109036820,13818.50467,4142.55,4128.9341
3870,2020/1/2 10:00,IF2006.CFE,4179.8,27,33849720,13811.24359,4146.23,4129.2459
3871,2020/1/2 10:01,IF2006.CFE,4179,28,35100840,13807.48571,4148.99,4129.557113
3872,2020/1/2 10:02,IF2006.CFE,4176.6,37,46388640,13810.1828,4147.65,4129.86046
3873,2020/1/2 10:03,IF2006.CFE,4181,61,76581600,13813.60204,4148.21,4130.167071
3874,2020/1/2 10:04,IF2006.CFE,4187.2,81,101738660,13832.0101,4151.8,4130.474226
3875,2020/1/2 10:05,IF2006.CFE,4186.8,27,33928740,13836.89216,4152.59,4130.778703
3876,2020/1/2 10:06,IF2006.CFE,4186.2,22,27640080,13840.45783,4155.12,4131.079498
3877,2020/1/2 10:07,IF2006.CFE,4188,15,18848640,13843.13235,4154.6,4131.372427
3878,2020/1/2 10:08,IF2006.CFE,4189,22,27623640,13838.46237,4154.97,4131.670502
3879,2020/1/2 10:09,IF2006.CFE,4182.8,32,40167540,13828.47945,4152.39,4131.969456
3880,2020/1/2 10:10,IF2006.CFE,4184.2,14,17579760,13824.86111,4150.75,4132.268745
3881,2020/1/2 10:11,IF2006.CFE,4188.4,24,30143640,13828.85714,4153.38,4132.568117
3882,2020/1/2 10:12,IF2006.CFE,4187,11,13820460,13832.20408,4153.1,4132.868954
3883,2020/1/2 10:13,IF2006.CFE,4188,17,21366900,13832.02985,4154.41,4133.166151
3884,2020/1/2 10:14,IF2006.CFE,4190.6,11,13822620,13832.44068,4155.11,4133.466318
3885,2020/1/2 10:15,IF2006.CFE,4188,18,22602900,13828.4918,4155.63,4133.771046
3886,2020/1/2 10:16,IF2006.CFE,4184,13,16332120,13824.01429,4154.77,4134.073096
3887,2020/1/2 10:17,IF2006.CFE,4188,5,6282720,13823.12195,4156.45,4134.373473
3888,2020/1/2 10:18,IF2006.CFE,4188.2,7,8792160,13824.65854,4156.06,4134.674728
3889,2020/1/2 10:19,IF2006.CFE,4186.8,19,23851740,13821.14286,4154.76,4134.971757
3890,2020/1/2 10:20,IF2006.CFE,4183.6,16,20080320,13814.02985,4153.26,4135.266653
3891,2020/1/2 10:21,IF2006.CFE,4185,10,12556920,13804.34426,4152.11,4135.576987
3892,2020/1/2 10:22,IF2006.CFE,4189,18,22623840,13802.61538,4154.08,4135.894226
3893,2020/1/2 10:23,IF2006.CFE,4188.4,6,7541940,13802.8,4155.54,4136.21159
3894,2020/1/2 10:24,IF2006.CFE,4188.8,37,46527480,13798.08333,4156.5,4136.526025
3895,2020/1/2 10:25,IF2006.CFE,4195,25,31454040,13803.10588,4158.28,4136.840795
3896,2020/1/2 10:26,IF2006.CFE,4194.6,23,28944240,13808.3,4160.7,4137.156527
3897,2020/1/2 10:27,IF2006.CFE,4192.2,11,13839840,13809.46512,4161.87,4137.471841
3898,2020/1/2 10:28,IF2006.CFE,4195.6,6,7551180,13808.67797,4163.25,4137.786067
3899,2020/1/2 10:29,IF2006.CFE,4194.2,5,6287400,13809.33333,4164.91,4138.100544
3900,2020/1/2 10:30,IF2006.CFE,4191.4,9,11323560,13805.63793,4163.13,4138.41887
3901,2020/1/2 10:31,IF2006.CFE,4193.6,9,11325060,13805.31481,4162.67,4138.738745
3902,2020/1/2 10:32,IF2006.CFE,4195,14,17620080,13809.33333,4162.67,4139.06318
3903,2020/1/2 10:33,IF2006.CFE,4194.8,12,15102000,13814.38095,4162.77,4139.388201
3904,2020/1/2 10:34,IF2006.CFE,4194,4,5034780,13817.29167,4162.22,4139.713305
3905,2020/1/2 10:35,IF2006.CFE,4196,33,41578500,13822.12162,4162.49,4140.03113
3906,2020/1/2 10:36,IF2006.CFE,4202.2,47,59232960,13822.36842,4167.4,4140.343933
3907,2020/1/2 10:37,IF2006.CFE,4200.8,37,46632780,13853.28358,4167.98,4140.648452
3908,2020/1/2 10:38,IF2006.CFE,4202,12,15121080,13855.88636,4167.14,4140.946485
3909,2020/1/2 10:39,IF2006.CFE,4200,15,18904380,13859.54545,4166.39,4141.235732
3910,2020/1/2 10:40,IF2006.CFE,4201.8,4,5042100,13861.29167,4166.36,4141.511967
3911,2020/1/2 10:41,IF2006.CFE,4202.2,26,32799480,13873.04545,4167.93,4141.776862
3912,2020/1/2 10:42,IF2006.CFE,4208,16,20189940,13881.64444,4170.32,4142.044561
3913,2020/1/2 10:43,IF2006.CFE,4205.2,4,5046900,13882.25455,4170.41,4142.306402
3914,2020/1/2 10:44,IF2006.CFE,4206,19,23978220,13886.18919,4171.43,4142.568201
3915,2020/1/2 10:45,IF2006.CFE,4206,13,16411080,13888.27273,4171.8,4142.820962
3916,2020/1/2 10:46,IF2006.CFE,4206.6,26,32761800,13888.88889,4172.49,4143.071172
3917,2020/1/2 10:47,IF2006.CFE,4198.4,20,25179840,13889.87952,4166.42,4143.320879
3918,2020/1/2 10:48,IF2006.CFE,4194.2,34,42787500,13890.45161,4163.15,4143.574017
3919,2020/1/2 10:49,IF2006.CFE,4192.4,32,40235280,13900.83146,4161.06,4143.83569
3920,2020/1/2 10:50,IF2006.CFE,4189.4,36,45248700,13899.60241,4157.75,4144.100879
3921,2020/1/2 10:51,IF2006.CFE,4191.6,12,15093720,13896.17647,4157.39,4144.368326
3922,2020/1/2 10:52,IF2006.CFE,4193.4,6,7546020,13897.38889,4159.75,4144.632301
3923,2020/1/2 10:53,IF2006.CFE,4192.8,12,15088980,13901.78333,4159.78,4144.895021
3924,2020/1/2 10:54,IF2006.CFE,4190.8,16,20110200,13906.45455,4158.78,4145.161088
3925,2020/1/2 10:55,IF2006.CFE,4190.8,6,7544160,13907.10909,4157.88,4145.441172
3926,2020/1/2 10:56,IF2006.CFE,4191,4,5028060,13908.36,4157.55,4145.719916
3927,2020/1/2 10:57,IF2006.CFE,4189.8,14,17610660,13908.96,4157.5,4145.975356
3928,2020/1/2 10:58,IF2006.CFE,4194.6,9,11323440,13913.52381,4160.52,4146.215188
