datetime,IF2012,IF2009,spread,index
2020/7/2 14:29,4261.0,4277.0,-16.0,4328.93
2020/7/2 14:30,4257.2,4274.2,-17.0,4329.32
2020/7/2 14:31,4276.2,4292.0,-15.8,4329.32
2020/7/2 14:32,4260.8,4280.4,-19.6,4329.32
2020/7/2 14:33,4266.6,4286.2,-19.6,4337.51
2020/7/2 14:34,4262.8,4286.0,-23.2,4338.48
2020/7/2 14:35,4265.6,4283.2,-17.6,4339.53
2020/7/2 14:36,4262.4,4280.0,-17.6,4339.58
2020/7/2 14:37,4258.4,4276.4,-18.0,4339.11
2020/7/2 14:38,4258.2,4277.0,-18.8,4339.11
2020/7/2 14:39,4260.6,4282.6,-22.0,4339.11
2020/7/2 14:40,4262.6,4282.4,-19.8,4336.31
2020/7/2 14:41,4261.4,4278.0,-16.6,4338.0
2020/7/2 14:42,4261.0,4277.0,-16.0,4337.49
2020/7/2 14:43,4261.0,4281.8,-20.8,4337.49
2020/7/2 14:44,4257.4,4278.0,-20.6,4337.49
2020/7/2 14:45,4258.2,4277.0,-18.8,4333.76
2020/7/2 14:46,4253.2,4273.6,-20.4,4334.0
2020/7/2 14:47,4252.6,4274.6,-22.0,4330.74
2020/7/2 14:48,4251.6,4273.2,-21.6,4330.41
2020/7/2 14:49,4261.0,4279.6,-18.6,4330.05
2020/7/2 14:50,4263.4,4282.2,-18.8,4328.99
2020/7/2 14:51,4265.0,4281.8,-16.8,4331.11
2020/7/2 14:52,4265.8,4282.2,-16.4,4332.1
2020/7/2 14:53,4263.6,4276.6,-13.0,4331.78
2020/7/2 14:54,4267.8,4282.0,-14.2,4331.85
2020/7/2 14:55,4267.8,4282.2,-14.4,4332.33
2020/7/2 14:56,4265.4,4283.4,-18.0,4334.62
2020/7/2 14:57,4258.8,4282.4,-23.6,4335.23
2020/7/2 14:58,4255.0,4280.6,-25.6,4336.29
2020/7/2 14:59,4249.8,4281.6,-31.8,4336.29
2020/7/3 9:30,4315.2,4333.0,-17.8,4353.19
2020/7/3 9:31,4321.8,4327.2,-5.4,4354.92
2020/7/3 9:32,4365.4,4338.4,27.0,4362.19
2020/7/3 9:33,4351.8,4346.8,5.0,4360.33
2020/7/3 9:34,4332.8,4340.0,-7.2,4368.12
2020/7/3 9:35,4335.0,4335.0,0.0,4368.68
2020/7/3 9:36,4329.2,4335.8,-6.6,4368.46
2020/7/3 9:37,4331.8,4339.0,-7.2,4368.26
2020/7/3 9:38,4330.0,4341.4,-11.4,4371.64
2020/7/3 9:39,4330.0,4340.2,-10.2,4371.64
2020/7/3 9:40,4328.4,4342.6,-14.2,4377.05
2020/7/3 9:41,4314.8,4330.0,-15.2,4378.16
2020/7/3 9:42,4308.4,4322.2,-13.8,4369.16
2020/7/3 9:43,4317.0,4331.2,-14.2,4362.62
2020/7/3 9:44,4316.8,4328.4,-11.6,4364.47
2020/7/3 9:45,4323.0,4334.4,-11.4,4363.5
2020/7/3 9:46,4329.6,4338.6,-9.0,4363.5
2020/7/3 9:47,4335.0,4341.8,-6.8,4374.54
2020/7/3 9:48,4330.0,4341.2,-11.2,4375.64
2020/7/3 9:49,4327.4,4340.6,-13.2,4374.94
2020/7/3 9:50,4323.6,4337.8,-14.2,4375.07
2020/7/3 9:51,4332.6,4345.0,-12.4,4378.3
2020/7/3 9:52,4331.0,4340.2,-9.2,4377.15
2020/7/3 9:53,4332.8,4345.8,-13.0,4381.63
2020/7/3 9:54,4332.4,4342.6,-10.2,4381.49
2020/7/3 9:55,4335.2,4346.0,-10.8,4381.49
2020/7/3 9:56,4335.6,4345.4,-9.8,4382.4
2020/7/3 9:57,4340.0,4347.8,-7.8,4384.44
2020/7/3 9:58,4339.0,4348.4,-9.4,4384.44
2020/7/3 9:59,4334.8,4342.2,-7.4,4386.65
2020/7/3 10:00,4329.8,4337.4,-7.6,4385.24
2020/7/3 10:01,4329.0,4336.4,-7.4,4382.74
2020/7/3 10:02,4332.2,4341.4,-9.2,4375.43
2020/7/3 10:03,4334.0,4343.2,-9.2,4378.43
2020/7/3 10:04,4333.0,4345.0,-12.0,4380.77
2020/7/3 10:05,4332.2,4342.2,-10.0,4382.0
2020/7/3 10:06,4334.4,4345.0,-10.6,4382.0
2020/7/3 10:07,4335.8,4345.6,-9.8,4382.0
2020/7/3 10:08,4332.6,4341.6,-9.0,4384.75
2020/7/3 10:09,4335.2,4344.2,-9.0,4384.75
2020/7/3 10:10,4334.2,4342.0,-7.8,4384.75
2020/7/3 10:11,4326.6,4335.2,-8.6,4386.13
