,account
719,9394.067039999989
720,9394.067039999989
721,9394.067039999989
722,9211.092959999989
723,9871.092959999989
724,10291.092959999989
725,10351.092959999989
726,10291.092959999989
727,10707.97535999999
728,10707.97535999999
729,10707.97535999999
730,10707.97535999999
731,10707.97535999999
732,10707.97535999999
733,10707.97535999999
734,10707.97535999999
735,10707.97535999999
736,10707.97535999999
737,10707.97535999999
738,10707.97535999999
739,10707.97535999999
740,10707.97535999999
741,10707.97535999999
742,10707.97535999999
743,10707.97535999999
744,10707.97535999999
745,10707.97535999999
746,10707.97535999999
747,10707.97535999999
748,10707.97535999999
749,10707.97535999999
750,10707.97535999999
751,10707.97535999999
752,10707.97535999999
753,10707.97535999999
754,10707.97535999999
755,10707.97535999999
756,10707.97535999999
757,10707.97535999999
758,10707.97535999999
759,10707.97535999999
760,10707.97535999999
761,10707.97535999999
762,10707.97535999999
763,10707.97535999999
764,10707.97535999999
765,10707.97535999999
766,10707.97535999999
767,10707.97535999999
768,10707.97535999999
769,10707.97535999999
770,10707.97535999999
771,10707.97535999999
772,10707.97535999999
773,10707.97535999999
774,10707.97535999999
775,10707.97535999999
776,10707.97535999999
777,10707.97535999999
778,10707.97535999999
779,10707.97535999999
780,10707.97535999999
781,10707.97535999999
782,10707.97535999999
783,10707.97535999999
784,10707.97535999999
785,10707.97535999999
786,10707.97535999999
787,10707.97535999999
788,10707.97535999999
789,10707.97535999999
790,10707.97535999999
791,10707.97535999999
792,10707.97535999999
793,10707.97535999999
794,10707.97535999999
795,10707.97535999999
796,10707.97535999999
797,10707.97535999999
798,10707.97535999999
799,10707.97535999999
800,10707.97535999999
801,10707.97535999999
802,10707.97535999999
803,10707.97535999999
804,10707.97535999999
805,10707.97535999999
806,10707.97535999999
807,10707.97535999999
808,10707.97535999999
809,10707.97535999999
810,10707.97535999999
811,10707.97535999999
812,10707.97535999999
813,10707.97535999999
814,10707.97535999999
815,10707.97535999999
816,10707.97535999999
817,10707.97535999999
818,10707.97535999999
819,10707.97535999999
820,10707.97535999999
821,10707.97535999999
822,10707.97535999999
823,10707.97535999999
824,10707.97535999999
825,10707.97535999999
826,10707.97535999999
827,10707.97535999999
828,10707.97535999999
829,10707.97535999999
830,10707.97535999999
831,10707.97535999999
832,10707.97535999999
833,10707.97535999999
834,10707.97535999999
835,10707.97535999999
836,10707.97535999999
837,10707.97535999999
838,10707.97535999999
839,10707.97535999999
840,10707.97535999999
841,10707.97535999999
842,10707.97535999999
843,10707.97535999999
844,10707.97535999999
845,10707.97535999999
846,10707.97535999999
847,10707.97535999999
848,10707.97535999999
849,10707.97535999999
850,10707.97535999999
851,10707.97535999999
852,10707.97535999999
853,10707.97535999999
854,10707.97535999999
855,10707.97535999999
856,10707.97535999999
857,10707.97535999999
858,10707.97535999999
859,10707.97535999999
860,10707.97535999999
861,10707.97535999999
862,10707.97535999999
863,10524.46151999999
864,11184.46151999999
865,11484.46151999999
866,10824.46151999999
867,11424.46151999999
868,11124.46151999999
869,11244.46151999999
870,10944.46151999999
871,11064.46151999999
872,11004.46151999999
873,11064.46151999999
874,11064.46151999999
875,10944.46151999999
876,10524.46151999999
877,11124.46151999999
878,11484.46151999999
879,11364.46151999999
880,11004.46151999999
881,11364.46151999999
882,11364.46151999999
883,11244.46151999999
884,11304.46151999999
885,11304.46151999999
886,11244.46151999999
887,11124.46151999999
888,11064.46151999999
889,11064.46151999999
890,11004.46151999999
891,11184.46151999999
892,11004.46151999999
893,10944.46151999999
894,10764.46151999999
895,10944.46151999999
896,11424.46151999999
897,11064.46151999999
898,10944.46151999999
899,10824.46151999999
900,10884.46151999999
901,10584.46151999999
902,10524.46151999999
903,11484.46151999999
904,11124.46151999999
905,11424.46151999999
906,11124.46151999999
907,10884.46151999999
908,10884.46151999999
909,11124.46151999999
910,10884.46151999999
911,10884.46151999999
912,11544.46151999999
913,10944.46151999999
914,11184.46151999999
915,11004.46151999999
916,11064.46151999999
917,11424.46151999999
918,11544.46151999999
919,10884.46151999999
920,11124.46151999999
921,11004.46151999999
922,11244.46151999999
923,10824.46151999999
924,11481.42035999999
925,11481.42035999999
926,11481.42035999999
927,11481.42035999999
928,11481.42035999999
929,11481.42035999999
930,11298.29807999999
931,11358.298079999986
932,11358.298079999986
933,11658.298079999986
934,11358.298079999986
935,11358.298079999986
936,12138.29807999999
937,12018.29807999999
938,11778.29807999999
939,11718.29807999999
940,11478.29807999999
941,11418.29807999999
942,11598.29807999999
943,12018.29807999999
944,11358.298079999986
945,12018.29807999999
946,12018.29807999999
947,12135.065039999989
948,12135.065039999989
949,12135.065039999989
950,12135.065039999989
951,12135.065039999989
952,12135.065039999989
953,12135.065039999989
954,11951.805479999988
955,12251.805479999988
956,12251.805479999988
957,11531.805479999988
958,12071.805479999988
959,13568.623919999989
960,13568.623919999989
961,13568.623919999989
962,13568.623919999989
963,13568.623919999989
964,13568.623919999989
965,13568.623919999989
966,13568.623919999989
967,13568.623919999989
968,13568.623919999989
969,13568.623919999989
970,13568.623919999989
971,13568.623919999989
972,13568.623919999989
973,13568.623919999989
974,13568.623919999989
975,13568.623919999989
976,13568.623919999989
977,13568.623919999989
978,13568.623919999989
979,13568.623919999989
980,13568.623919999989
981,13568.623919999989
982,13568.623919999989
983,13568.623919999989
984,13568.623919999989
985,13568.623919999989
986,13568.623919999989
987,13568.623919999989
988,13568.623919999989
989,13568.623919999989
990,13568.623919999989
991,13568.623919999989
