,index,datetime,IF2103,IF2012,spread,avg3,avg5,gap,grid,hold,service,bag,revenue,account
12875,14075,2020-12-11 13:34:59.999998,4861.6,4877.2,-15.5999999999994,-13.6022191400831,-12.9925062447958,-1.9977808599162987,3,2,0,607381.165048548,5.702105454474804e-10,503375.83556854853
12876,14076,2020-12-11 13:36:00.000003,4860.6,4875.8,-15.1999999999998,-13.6061026352288,-12.9928393005826,-1.593897364771001,3,2,0,607381.165048548,240.00000000032955,503615.8355685483
12877,14077,2020-12-11 13:36:59.999999,4867.6,4883.2,-15.5999999999994,-13.611095700416,-12.9943380516234,-1.9889042995833996,3,2,0,607381.165048548,5.702105454474804e-10,503375.83556854853
12878,14078,2020-12-11 13:38:00.000004,4864.2,4879.6,-15.4000000000005,-13.6158113730928,-12.9961698584511,-1.7841886269076994,3,2,0,607381.165048548,119.99999999991005,503495.83556854783
12879,14079,2020-12-11 13:39:00.000000,4866.2,4881.0,-14.8000000000001,-13.6183079056865,-12.9965029142379,-1.1816920943136004,3,2,0,607381.165048548,480.0000000001496,503855.83556854806
12880,14080,2020-12-11 13:39:59.999996,4870.0,4884.2,-14.1999999999998,-13.6194174757281,-12.9971690258116,-0.5805825242716995,4,1,76.08276,608281.1650485483,-59.9999999999401,504139.7528085483
12881,14081,2020-12-11 13:41:00.000001,4868.6,4882.6,-14.0,-13.6233009708737,-12.9976686094919,-0.37669902912629993,4,1,0,608281.1650485483,0.0,504199.75280854816
12882,14082,2020-12-11 13:41:59.999997,4867.0,4881.0,-14.0,-13.6266296809985,-12.9990008326393,-0.3733703190015003,4,1,0,608281.1650485483,0.0,504199.75280854816
12883,14083,2020-12-11 13:43:00.000002,4867.2,4882.6,-15.4000000000005,-13.6316227461858,-13.0001665278932,-1.7683772538147,3,1,0,608281.1650485483,-420.00000000014984,503779.75280854804
12884,14084,2020-12-11 13:43:59.999998,4858.0,4872.2,-14.1999999999998,-13.6349514563106,-13.0003330557866,-0.5650485436892012,4,1,0,608281.1650485483,-59.9999999999401,504139.7528085483
12885,14085,2020-12-11 13:45:00.000003,4859.0,4874.4,-15.3999999999996,-13.6385575589458,-13.0014987510406,-1.7614424410538003,3,1,0,608281.1650485483,-419.9999999998802,503779.7528085483
12886,14086,2020-12-11 13:45:59.999999,4856.4,4870.2,-13.8000000000001,-13.640776699029,-13.0019983347209,-0.1592233009710995,4,1,0,608281.1650485483,59.999999999969944,504259.75280854816
12887,14087,2020-12-11 13:47:00.000004,4859.0,4875.2,-16.1999999999998,-13.6466019417475,-13.0036636136551,-2.5533980582523004,3,1,0,608281.1650485483,-659.9999999999401,503539.7528085483
12888,14088,2020-12-11 13:48:00.000000,4856.6,4871.4,-14.7999999999992,-13.6507628294035,-13.0046627810156,-1.1492371705956987,3,1,0,608281.1650485483,-239.99999999975986,503959.7528085484
12889,14089,2020-12-11 13:48:59.999996,4855.8,4869.0,-13.1999999999998,-13.6543689320387,-13.0046627810156,0.45436893203889994,4,1,0,608281.1650485483,240.0000000000599,504439.7528085483
12890,14090,2020-12-11 13:50:00.000001,4858.0,4872.6,-14.6000000000003,-13.659361997226,-13.0061615320564,-0.9406380027742998,4,1,0,608281.1650485483,-180.00000000008995,504019.75280854804
12891,14091,2020-12-11 13:50:59.999997,4856.2,4870.4,-14.1999999999998,-13.6643550624132,-13.0061615320564,-0.5356449375865999,4,1,0,608281.1650485483,-59.9999999999401,504139.7528085483
12892,14092,2020-12-11 13:52:00.000002,4856.8,4869.8,-13.0,-13.6665742024964,-13.0046627810156,0.6665742024964008,4,1,0,608281.1650485483,300.0,504499.75280854816
12893,14093,2020-12-11 13:52:59.999998,4858.6,4873.0,-14.3999999999996,-13.6704576976421,-13.0058284762696,-0.7295423023575012,4,1,0,608281.1650485483,-119.9999999998802,504079.7528085483
12894,14094,2020-12-11 13:54:00.000003,4860.4,4874.4,-14.0,-13.6732316227461,-13.0061615320564,-0.3267683772539005,4,1,0,608281.1650485483,0.0,504199.75280854816
12895,14095,2020-12-11 13:54:59.999999,4855.8,4869.2,-13.3999999999996,-13.6737864077669,-13.0058284762696,0.27378640776729846,4,1,0,608281.1650485483,180.0000000001198,504379.7528085483
12896,14096,2020-12-11 13:56:00.000004,4854.0,4867.8,-13.8000000000001,-13.6757281553397,-13.0049958368025,-0.12427184466040053,4,1,0,608281.1650485483,59.999999999969944,504259.75280854816
12897,14097,2020-12-11 13:57:00.000000,4857.0,4871.4,-14.3999999999996,-13.6785020804437,-13.0049958368025,-0.721497919555901,4,1,0,608281.1650485483,-119.9999999998802,504079.7528085483
12898,14098,2020-12-11 13:57:59.999996,4853.6,4867.8,-14.1999999999998,-13.6815533980582,-13.0053288925893,-0.5184466019415996,4,1,0,608281.1650485483,-59.9999999999401,504139.7528085483
12899,14099,2020-12-11 13:59:00.000001,4845.6,4858.4,-12.7999999999992,-13.6818307905686,-13.0051623646959,0.881830790569401,5,0,75.6912,608641.1650485485,-0.0,504484.0616085484
12900,14100,2020-12-11 13:59:59.999997,4850.0,4863.2,-13.1999999999998,-13.6818307905686,-13.0046627810156,0.4818307905688002,4,0,0,608641.1650485485,-0.0,504484.0616085484
12901,14101,2020-12-11 14:01:00.000002,4850.8,4864.6,-13.8000000000001,-13.6837725381414,-13.0034970857617,-0.11622746185870092,4,0,0,608641.1650485485,-0.0,504484.0616085484
12902,14102,2020-12-11 14:01:59.999998,4852.6,4866.0,-13.3999999999996,-13.6843273231622,-13.0024979184011,0.2843273231626,4,0,0,608641.1650485485,-0.0,504484.0616085484
12903,14103,2020-12-11 14:03:00.000003,4858.0,4872.0,-14.0,-13.6859916782246,-13.002830974188,-0.3140083217754004,4,0,0,608641.1650485485,-0.0,504484.0616085484
12904,14104,2020-12-11 14:03:59.999999,4860.0,4872.4,-12.3999999999996,-13.684882108183,-13.0023313905077,1.2848821081833997,5,0,0,608641.1650485485,-0.0,504484.0616085484
12905,14105,2020-12-11 14:05:00.000004,4857.0,4871.4,-14.3999999999996,-13.6871012482662,-13.0031640299748,-0.7128987517334,4,0,0,608641.1650485485,-0.0,504484.0616085484
12906,14106,2020-12-11 14:06:00.000000,4857.4,4870.0,-12.6000000000003,-13.686269070735,-13.0011656952537,1.0862690707346996,5,0,0,608641.1650485485,-0.0,504484.0616085484
12907,14107,2020-12-11 14:06:59.999996,4850.2,4865.4,-15.1999999999998,-13.6887656033286,-13.002830974188,-1.5112343966712007,3,1,75.78167999999998,608641.1650485485,0.0,504408.2799285484
12908,14108,2020-12-11 14:08:00.000001,4853.6,4867.2,-13.5999999999994,-13.6898751733702,-13.0038301415485,0.08987517337080142,4,1,0,608641.1650485485,480.00000000012034,504888.2799285485
12909,14109,2020-12-11 14:08:59.999997,4850.0,4863.6,-13.6000000000003,-13.690429958391,-13.0036636136551,0.09042995839070045,4,1,0,608641.1650485485,479.99999999985016,504888.27992854826
12910,14110,2020-12-11 14:10:00.000002,4848.6,4862.8,-14.1999999999998,-13.6912621359222,-13.0049958368025,-0.5087378640776006,4,1,0,608641.1650485485,300.0,504708.2799285484
12911,14111,2020-12-11 14:10:59.999998,4846.4,4859.6,-13.2000000000007,-13.6912621359222,-13.0039966694419,0.4912621359215006,4,1,0,608641.1650485485,599.9999999997303,505008.27992854815
12912,14112,2020-12-11 14:12:00.000003,4837.8,4852.2,-14.3999999999996,-13.6934812760054,-13.0038301415485,-0.7065187239942006,4,1,0,608641.1650485485,240.0000000000599,504648.2799285485
12913,14113,2020-12-11 14:12:59.999999,4840.6,4853.8,-13.1999999999998,-13.6943134535367,-13.0036636136551,0.4943134535369005,4,1,0,608641.1650485485,600.0,505008.2799285484
12914,14114,2020-12-11 14:14:00.000004,4840.6,4852.2,-11.5999999999994,-13.6951456310679,-13.001665278934,2.095145631068501,5,0,75.60383999999999,609721.1650485486,-0.0,505412.6760885485
12915,14115,2020-12-11 14:15:00.000000,4845.2,4858.0,-12.8000000000001,-13.6945908460471,-13.0011656952537,0.8945908460470005,5,0,0,609721.1650485486,-0.0,505412.6760885485
12916,14116,2020-12-11 14:15:59.999996,4839.0,4853.4,-14.3999999999996,-13.6962552011095,-13.0011656952537,-0.7037447988901011,4,0,0,609721.1650485486,-0.0,505412.6760885485
12917,14117,2020-12-11 14:17:00.000001,4837.4,4851.2,-13.8000000000001,-13.6979195561719,-13.0014987510406,-0.10208044382819992,4,0,0,609721.1650485486,-0.0,505412.6760885485
12918,14118,2020-12-11 14:17:59.999997,4838.0,4851.6,-13.6000000000003,-13.6987517337031,-13.0023313905077,0.09875173370279988,4,0,0,609721.1650485486,-0.0,505412.6760885485
12919,14119,2020-12-11 14:19:00.000002,4840.2,4855.2,-15.0,-13.7004160887655,-13.0031640299748,-1.2995839112344996,3,1,75.62411999999999,609721.1650485486,0.0,505337.0519685485
12920,14120,2020-12-11 14:19:59.999998,4842.0,4855.8,-13.8000000000001,-13.7029126213591,-13.0034970857617,-0.09708737864099959,4,1,0,609721.1650485486,359.99999999996993,505697.0519685485
12921,14121,2020-12-11 14:21:00.000003,4843.2,4858.8,-15.6000000000003,-13.7062413314839,-13.0053288925893,-1.8937586685163996,3,1,0,609721.1650485486,-180.00000000008995,505157.0519685484
12922,14122,2020-12-11 14:21:59.999999,4844.8,4860.0,-15.1999999999998,-13.7092926490984,-13.0064945878433,-1.4907073509014008,3,1,0,609721.1650485486,-59.9999999999401,505277.0519685486
12923,14123,2020-12-11 14:23:00.000004,4843.2,4859.2,-16.0,-13.7134535367544,-13.0088259783512,-2.2865464632455996,3,1,0,609721.1650485486,-300.0,505037.0519685485
12924,14124,2020-12-11 14:24:00.000000,4848.0,4863.0,-15.0,-13.7151178918168,-13.0098251457117,-1.2848821081832007,3,1,0,609721.1650485486,0.0,505337.0519685485
12925,14125,2020-12-11 14:24:59.999996,4850.4,4865.4,-15.0,-13.7162274618584,-13.0113238967525,-1.2837725381415996,3,1,0,609721.1650485486,0.0,505337.0519685485
12926,14126,2020-12-11 14:26:00.000001,4851.6,4867.2,-15.5999999999994,-13.7195561719833,-13.013488759367,-1.8804438280160998,3,1,0,609721.1650485486,-179.99999999981978,505157.05196854874
12927,14127,2020-12-11 14:26:59.999997,4848.8,4864.2,-15.3999999999996,-13.7237170596393,-13.0161532056617,-1.6762829403603003,3,1,0,609721.1650485486,-119.9999999998802,505217.0519685486
12928,14128,2020-12-11 14:28:00.000002,4848.6,4864.6,-16.0,-13.7278779472953,-13.0194837635302,-2.2721220527047006,3,1,0,609721.1650485486,-300.0,505037.0519685485
12929,14129,2020-12-11 14:28:59.999998,4856.0,4872.6,-16.6000000000003,-13.7320388349514,-13.0233139050789,-2.8679611650489,2,2,75.88307999999999,609721.1650485486,-480.0000000000899,504781.1688885484
12930,14130,2020-12-11 14:30:00.000003,4860.6,4877.8,-17.1999999999998,-13.7381414701802,-13.0276436303079,-3.461858529819601,2,2,0,609721.1650485486,-839.9999999997902,504421.16888854874
