,index,datetime,IF2103,IF2012,spread,avg3,avg5,gap,grid,hold,service,bag,revenue,account
12444,13644,2020-12-09 14:24:00.000000,4987.0,4998.0,-11.0,-11.8818307905686,-12.1497085761863,0.8818307905685998,4,1,0,623161.1650485417,359.9999999999401,509181.58436854143
12445,13645,2020-12-09 14:24:59.999996,4985.0,4996.4,-11.3999999999996,-11.879334257975,-12.1505412156534,0.47933425797539897,4,1,0,623161.1650485417,240.0000000000599,509061.58436854166
12446,13646,2020-12-09 14:26:00.000001,4986.0,4999.2,-13.1999999999998,-11.8796116504854,-12.1525395503745,-1.3203883495144009,3,1,0,623161.1650485417,-300.0,508521.58436854155
12447,13647,2020-12-09 14:26:59.999997,4983.8,4995.6,-11.8000000000001,-11.8790568654646,-12.1533721898416,0.07905686546449964,4,1,0,623161.1650485417,119.99999999991005,508941.58436854143
12448,13648,2020-12-09 14:28:00.000002,4982.6,4995.4,-12.7999999999992,-11.8801664355062,-12.154704412989,-0.9198335644929987,3,1,0,623161.1650485417,-179.99999999981978,508641.5843685418
12449,13649,2020-12-09 14:28:59.999998,4984.4,4996.4,-12.0,-11.8801664355062,-12.1555370524561,-0.11983356449379912,4,1,0,623161.1650485417,59.9999999999401,508881.58436854143
12450,13650,2020-12-09 14:30:00.000003,4981.0,4994.0,-13.0,-11.8815533980582,-12.1568692756035,-1.1184466019418,3,1,0,623161.1650485417,-240.0000000000599,508581.58436854143
12451,13651,2020-12-09 14:30:59.999999,4977.4,4989.6,-12.2000000000007,-11.8785020804438,-12.1572023313903,-0.321497919556899,3,1,0,623161.1650485417,-2.69650968220958e-10,508821.5843685413
12452,13652,2020-12-09 14:32:00.000004,4971.6,4983.2,-11.5999999999994,-11.8760055478502,-12.1572023313903,0.2760055478508008,4,1,0,623161.1650485417,180.00000000012034,509001.58436854166
12453,13653,2020-12-09 14:33:00.000000,4969.0,4980.8,-11.8000000000001,-11.8732316227462,-12.1565362198166,0.07323162274609984,4,1,0,623161.1650485417,119.99999999991005,508941.58436854143
12454,13654,2020-12-09 14:33:59.999996,4966.4,4978.0,-11.6000000000003,-11.8704576976421,-12.1570358034969,0.2704576976418007,4,1,0,623161.1650485417,179.99999999985016,509001.58436854143
12455,13655,2020-12-09 14:35:00.000001,4961.0,4972.8,-11.8000000000001,-11.8693481276005,-12.15670274771,0.06934812760039932,4,1,0,623161.1650485417,119.99999999991005,508941.58436854143
12456,13656,2020-12-09 14:35:59.999997,4958.4,4971.0,-12.6000000000003,-11.8676837725381,-12.1572023313903,-0.7323162274621993,3,1,0,623161.1650485417,-120.00000000014985,508701.58436854143
12457,13657,2020-12-09 14:37:00.000002,4961.4,4972.8,-11.4000000000005,-11.8640776699029,-12.1575353871772,0.46407766990239985,4,1,0,623161.1650485417,239.99999999979025,509061.5843685413
12458,13658,2020-12-09 14:37:59.999998,4960.6,4972.6,-12.0,-11.8621359223301,-12.1572023313903,-0.1378640776698994,4,1,0,623161.1650485417,59.9999999999401,508881.58436854143
12459,13659,2020-12-09 14:39:00.000003,4956.6,4969.2,-12.5999999999994,-11.8607489597781,-12.1592006661114,-0.7392510402212995,3,1,0,623161.1650485417,-119.99999999987966,508701.58436854166
