,index,datetime,IF2103,IF2012,spread,avg3,avg5,gap,grid,hold,service,bag,revenue,account,,,,,,,
66,1266,36:00.0,4605.8,4658,-52.2,-64.21525659,-62.89975021,12.01525659,3,-1,0,0,0.2,-72.6676,,,,,,,
67,1267,37:00.0,4601.4,4654,-52.6,-64.2,-62.89542048,11.6,3,-1,0,0,0.6,-72.2676,,,,,,,
68,1268,38:00.0,4603.2,4654,-50.8,-64.17947295,-62.89059117,13.37947295,3,-1,0,0,-1.2,-74.0676,,,,,,,
69,1269,39:00.0,4598.8,4652.2,-53.4,-64.16366158,-62.88642798,10.76366158,3,-1,0,0,1.4,-71.4676,,,,,,,
70,1270,40:00.0,4600,4652,-52,-64.14590846,-62.88076603,12.14590846,3,-1,0,0,0,-72.8676,,,,,,,
71,1271,41:00.0,4601.6,4652.4,-50.8,-64.12732316,-62.87493755,13.32732316,3,-1,0,0,-1.2,-74.0676,,,,,,,
72,1272,42:00.0,4603.6,4654.4,-50.8,-64.10568655,-62.86910908,13.30568655,3,-1,0,0,-1.2,-74.0676,,,,,,,
73,1273,43:00.0,4599.8,4652.4,-52.6,-64.08737864,-62.8632806,11.48737864,3,-1,0,0,0.6,-72.2676,,,,,,,
74,1274,44:00.0,4600.4,4652.8,-52.4,-64.06768377,-62.8591174,11.66768377,3,-1,0,0,0.4,-72.4676,,,,,,,
75,1275,45:00.0,4600.2,4652.2,-52,-64.0479889,-62.85595337,12.0479889,3,-1,0,0,0,-72.8676,,,,,,,
76,1276,46:00.0,4600.2,4652.4,-52.2,-64.029681,-62.8501249,11.829681,3,-1,0,0,0.2,-72.6676,,,,,,,
77,1277,47:00.0,4600,4650.8,-50.8,-64.00970874,-62.84429642,13.20970874,3,-1,0,0,-1.2,-74.0676,,,,,,,
78,1278,48:00.0,4596.2,4648.2,-52,-63.99140083,-62.83963364,11.99140083,3,-1,0,0,0,-72.8676,,,,,,,
79,1279,49:00.0,4594.2,4647,-52.8,-63.9742025,-62.8346378,11.1742025,3,-1,0,0,0.8,-72.0676,,,,,,,
80,1280,50:00.0,4597.4,4651.6,-54.2,-63.9592233,-62.8304746,9.759223301,3,-1,0,0,2.2,-70.6676,,,,,,,
81,1281,51:00.0,4600,4652.2,-52.2,-63.94036061,-62.82597835,11.74036061,3,-1,0,0,0.2,-72.6676,,,,,,,
82,1282,52:00.0,4598,4651.4,-53.4,-63.92316227,-62.82048293,10.52316227,3,-1,0,0,1.4,-71.4676,,,,,,,
83,1283,53:00.0,4599,4652.8,-53.8,-63.90818308,-62.81665279,10.10818308,3,-1,0,0,1.8,-71.0676,,,,,,,
84,1284,54:00.0,4601.8,4655.8,-54,-63.89542302,-62.81348876,9.895423024,3,-1,0,0,2,-70.8676,,,,,,,
85,1285,55:00.0,4604.6,4657.8,-53.2,-63.87711512,-62.80782681,10.67711512,3,-1,0,0,1.2,-71.6676,,,,,,,
86,1286,56:00.0,4603.2,4658.4,-55.2,-63.86269071,-62.8041632,8.662690707,3,-1,0,0,3.2,-69.6676,,,,,,,
87,1287,57:00.0,4602,4655.4,-53.4,-63.84549237,-62.79866778,10.44549237,3,-1,0,0,1.4,-71.4676,,,,,,,
88,1288,58:00.0,4601,4654.8,-53.8,-63.83023578,-62.79350541,10.03023578,3,-1,0,0,1.8,-71.0676,,,,,,,
89,1289,59:00.0,4598.8,4652,-53.2,-63.81386963,-62.78800999,10.61386963,3,-1,0,0,1.2,-71.6676,,,,,,,
90,1290,00:00.0,4594.8,4648.8,-54,-63.79972261,-62.78451291,9.799722607,3,-1,0,0,2,-70.8676,,,,,,,
91,1291,01:00.0,4592.6,4645.4,-52.8,-63.78335645,-62.7796836,10.98335645,3,-1,0,0,0.8,-72.0676,,,,,,,
92,1292,02:00.0,4593.4,4646.2,-52.8,-63.76782247,-62.77568693,10.96782247,3,-1,0,0,0.8,-72.0676,,,,,,,
93,1293,03:00.0,4591,4643.8,-52.8,-63.7520111,-62.77002498,10.9520111,3,-1,0,0,0.8,-72.0676,,,,,,,
94,1294,04:00.0,4589.6,4644.2,-54.6,-63.73980583,-62.76652789,9.139805825,3,-1,0,0,2.6,-70.2676,,,,,,,
95,1295,05:00.0,4590.6,4642.2,-51.6,-63.7220527,-62.75986678,12.1220527,3,-1,0,0,-0.4,-73.2676,,,,,,,
96,1296,06:00.0,4592.4,4644.4,-52,-63.70485437,-62.75353872,11.70485437,3,-1,0,0,0,-72.8676,,,,,,,
97,1297,07:00.0,4591.2,4643.4,-52.2,-63.68710125,-62.74854288,11.48710125,3,-1,0,0,0.2,-72.6676,,,,,,,
98,1298,08:00.0,4591,4642.4,-51.4,-63.66934813,-62.74154871,12.26934813,3,-1,0,0,-0.6,-73.4676,,,,,,,
99,1299,09:00.0,4589.4,4641,-51.6,-63.64909847,-62.73488759,12.04909847,3,-1,0,0,-0.4,-73.2676,,,,,,,
100,1300,10:00.0,4592.8,4646.4,-53.6,-63.6332871,-62.72905912,10.0332871,3,-1,0,0,1.6,-71.2676,,,,,,,
101,1301,11:00.0,4597.2,4651,-53.8,-63.61636616,-62.72189842,9.816366158,3,-1,0,0,1.8,-71.0676,,,,,,,
102,1302,12:00.0,4594.4,4646.4,-52,-63.59972261,-62.71557036,11.59972261,3,-1,0,0,0,-72.8676,,,,,,,
103,1303,13:00.0,4595.2,4647.6,-52.4,-63.58169209,-62.70791007,11.18169209,3,-1,0,0,0.4,-72.4676,,,,,,,
104,1304,14:00.0,4592.4,4642.8,-50.4,-63.56144244,-62.69858451,13.16144244,3,-1,0,0,-1.6,-74.4676,,,,,,,
105,1305,15:00.0,4586,4638,-52,-63.54119279,-62.69159034,11.54119279,3,-1,0,0,0,-72.8676,,,,,,,
106,1306,16:00.0,4585.6,4637.6,-52,-63.5220527,-62.68276436,11.5220527,3,-1,0,0,0,-72.8676,,,,,,,
107,1307,17:00.0,4586.6,4639.6,-53,-63.50568655,-62.6746045,10.50568655,3,-1,0,0,1,-71.8676,,,,,,,
108,1308,18:00.0,4585.2,4637.4,-52.2,-63.48793343,-62.66677769,11.28793343,3,-1,0,0,0.2,-72.6676,,,,,,,
109,1309,19:00.0,4588,4640.8,-52.8,-63.47101248,-62.65828476,10.67101248,3,-1,0,0,0.8,-72.0676,,,,,,,
110,1310,20:00.0,4588.6,4641.2,-52.6,-63.45436893,-62.64929226,10.85436893,3,-1,0,0,0.6,-72.2676,,,,,,,
111,1311,21:00.0,4588.6,4641,-52.4,-63.43772538,-62.64046628,11.03772538,3,-1,0,0,0.4,-72.4676,,,,,,,
112,1312,22:00.0,4585.8,4640.6,-54.8,-63.42191401,-62.63430475,8.621914008,3,-1,0,0,2.8,-70.0676,,,,,,,
113,1313,23:00.0,4589,4640.2,-51.2,-63.40305132,-62.62581182,12.20305132,3,-1,0,0,-0.8,-73.6676,,,,,,,
114,1314,24:00.0,4591.6,4644.4,-52.8,-63.38474341,-62.61715237,10.58474341,3,-1,0,0,0.8,-72.0676,,,,,,,
115,1315,25:00.0,4586.6,4638.6,-52,-63.370319,-62.6071607,11.370319,3,-1,0,0,0,-72.8676,,,,,,,
116,1316,26:00.0,4589,4640.4,-51.4,-63.34923717,-62.59833472,11.94923717,3,-1,0,0,-0.6,-73.4676,,,,,,,
117,1317,27:00.0,4589.6,4641.4,-51.8,-63.32926491,-62.58917569,11.52926491,3,-1,0,0,-0.2,-73.0676,,,,,,,
118,1318,28:00.0,4592.2,4642.6,-50.4,-63.30707351,-62.58034971,12.90707351,3,-1,0,0,-1.6,-74.4676,,,,,,,
119,1319,29:00.0,4590.6,4640.8,-50.2,-63.28460472,-62.57019151,13.08460472,3,-1,0,0,-1.8,-74.6676,,,,,,,
120,1320,00:00.0,4588.2,4642,-53.8,-63.26629681,-62.56386345,9.46629681,3,-1,0,0,1.8,-71.0676,,,,,,,
121,1321,01:00.0,4588,4639.8,-51.8,-63.24604716,-62.55653622,11.44604716,3,-1,0,0,-0.2,-73.0676,,,,,,,
122,1322,02:00.0,4592.2,4642.6,-50.4,-63.22357836,-62.54437968,12.82357836,3,-1,0,0,-1.6,-74.4676,,,,,,,
123,1323,03:00.0,4591.4,4645.2,-53.8,-63.20471567,-62.53621982,9.404715673,3,-1,0,0,1.8,-71.0676,,,,,,,
124,1324,04:00.0,4593,4644.8,-51.8,-63.18391123,-62.52756037,11.38391123,3,-1,0,0,-0.2,-73.0676,,,,,,,
